period_begin,period_end,period_duration,region_type,region_type_id,table_id,is_seasonally_adjusted,region,city_x,state,state_code,property_type,property_type_id,median_sale_price,median_sale_price_mom,median_sale_price_yoy,median_list_price,median_list_price_mom,median_list_price_yoy,median_ppsf,median_ppsf_mom,median_ppsf_yoy,median_list_ppsf,median_list_ppsf_mom,median_list_ppsf_yoy,homes_sold,homes_sold_mom,homes_sold_yoy,pending_sales,pending_sales_mom,pending_sales_yoy,new_listings,new_listings_mom,new_listings_yoy,inventory,inventory_mom,inventory_yoy,months_of_supply,months_of_supply_mom,months_of_supply_yoy,median_dom,median_dom_mom,median_dom_yoy,avg_sale_to_list,avg_sale_to_list_mom,avg_sale_to_list_yoy,sold_above_list,sold_above_list_mom,sold_above_list_yoy,price_drops,price_drops_mom,price_drops_yoy,off_market_in_two_weeks,off_market_in_two_weeks_mom,off_market_in_two_weeks_yoy,parent_metro_region,parent_metro_region_metro_code,last_updated,zipcode,city_y,county
5/1/2013,7/31/2013,90,zip code,2,9060,f,Zip Code: 22940,,Virginia,VA,All Residential,-1,615000.0,0.0,0.808823529,602500.0,-0.201986755,-0.180272109,355.9027778,0.0,2.404105392,220.8333333,-0.297523544,-0.190301494,3,0.0,2.0,3.0,0.0,2.0,6.0,0.2,2.0,11.0,0.1,0.222222222,,,,436.0,0.0,181.0,0.868858012,0.0,-0.078217197,0.0,0.0,0.0,,,,0.0,0.0,0.0,"Charlottesville, VA",16820,2/10/2025 14:21,22940,Mission home,Albemarle
5/1/2017,7/31/2017,90,zip code,2,9057,f,Zip Code: 22937,,Virginia,VA,All Residential,-1,220000.0,0.069518717,0.92139738,199700.0,0.178171091,-0.3759375,155.5693839,0.01402953,0.665417126,113.976591,-0.183969253,0.156327594,5,0.666666667,1.5,5.0,0.666666667,1.5,4.0,-0.2,-0.428571429,13.0,-0.235294118,-0.071428571,,,,216.0,134.0,117.0,0.917977274,-0.060550776,-0.048131465,0.0,0.0,0.0,,,,0.0,0.0,0.0,"Charlottesville, VA",16820,2/10/2025 14:21,22937,Esmont,Albemarle
10/1/2019,12/31/2019,90,zip code,2,9056,f,Zip Code: 22936,,Virginia,VA,All Residential,-1,475000.0,-0.077669903,0.409495549,414950.0,-0.169186105,0.328690362,165.5052265,0.038027396,-0.062505779,188.6659199,0.067811639,0.324845739,15,0.0,0.5,15.0,0.0,0.5,16.0,-0.272727273,1.0,34.0,-0.170731707,-0.055555556,,,,135.0,-22.0,52.5,0.96439099,0.002378138,-0.002840416,0.066666667,0.0,0.066666667,,,,0.0,0.0,0.0,"Charlottesville, VA",16820,2/10/2025 14:21,22936,Earlysville,Albemarle
8/1/2018,10/31/2018,90,zip code,2,9057,f,Zip Code: 22937,,Virginia,VA,All Residential,-1,184950.0,0.233822548,0.193610842,199900.0,0.333555704,1.019191919,105.979902,-0.060223134,0.322434944,104.1145833,0.033333333,0.00959596,6,-0.142857143,0.5,5.0,-0.166666667,0.25,5.0,0.0,4.0,14.0,0.0,0.75,,,,77.0,4.0,-101.0,0.885946203,-0.023048436,-0.071342384,0.0,0.0,0.0,,,,0.0,0.0,0.0,"Charlottesville, VA",16820,2/10/2025 14:21,22937,Esmont,Albemarle
12/1/2018,2/28/2019,90,zip code,2,9048,f,Zip Code: 22911,,Virginia,VA,Single Family Residential,6,483000.0,0.07693028,0.098976109,509900.0,-0.000235285,0.158593737,151.7273576,-0.025795853,0.032990189,162.3376623,-0.02632049,0.041379198,25,-0.193548387,-0.21875,25.0,-0.193548387,-0.193548387,49.0,0.166666667,-0.3,114.0,0.096153846,-0.191489362,,,,145.0,3.0,-25.0,0.997667035,0.004651499,0.005915388,0.36,0.00516129,-0.0775,,,,0.04,0.04,0.007741935,"Charlottesville, VA",16820,2/10/2025 14:21,22911,Zcta 22911,Albemarle
2/1/2023,4/30/2023,90,zip code,2,9065,f,Zip Code: 22947,,Virginia,VA,All Residential,-1,665000.0,-0.092150171,-0.239605029,849000.0,-0.000582699,-0.138190932,254.4529262,-0.042911689,0.193870356,228.2900627,-0.030822028,0.016462115,19,0.1875,-0.441176471,29.0,0.035714286,-0.236842105,31.0,-0.03125,-0.279069767,30.0,-0.032258065,0.428571429,,,,29.5,15.5,-15.5,0.979125623,-0.004199793,-0.044004149,0.157894737,0.032894737,-0.253869969,,,,0.620689655,0.049261084,-0.037205082,"Charlottesville, VA",16820,2/10/2025 14:21,22947,Boyd tavern,Albemarle
10/1/2019,12/31/2019,90,zip code,2,9065,f,Zip Code: 22947,,Virginia,VA,Townhouse,13,304868.0,-0.076752091,-0.345636403,328625.0,0.008794818,-0.255211255,153.4107516,-0.081636366,-0.235971576,153.8072582,0.002584608,-0.082184058,15,0.25,6.5,15.0,0.25,6.5,8.0,-0.272727273,0.333333333,12.0,-0.4,0.333333333,,,,127.0,-36.5,49.0,1.001069919,-0.000447659,0.012721162,0.466666667,-0.2,0.466666667,,,,0.0,0.0,0.0,"Charlottesville, VA",16820,2/10/2025 14:21,22947,Boyd tavern,Albemarle
2/1/2020,4/30/2020,90,zip code,2,9071,f,Zip Code: 22959,,Virginia,VA,Single Family Residential,6,439000.0,0.175368139,1.677645624,367000.0,0.0,0.958377801,160.1830664,-0.049386312,0.500989804,178.4270373,0.0,-0.035833158,5,0.666666667,1.5,3.0,0.5,0.5,9.0,0.285714286,0.5,12.0,-0.076923077,0.5,,,,260.0,93.0,57.0,0.918083339,-0.076646569,-0.083147864,0.0,0.0,-0.5,,,,0.0,0.0,0.0,"Charlottesville, VA",16820,2/10/2025 14:21,22959,Alberene,Albemarle
8/1/2021,10/31/2021,90,zip code,2,9062,f,Zip Code: 22943,,Virginia,VA,All Residential,-1,372000.0,0.660714286,-0.670431894,419500.0,-0.338849488,,243.1914077,0.146473779,-0.112532726,290.4206224,0.199485344,,2,1.0,0.0,2.0,1.0,0.0,2.0,0.0,,2.0,0.0,,,,,63.5,-21.5,-153.0,0.954139462,-0.04185876,-0.037667869,0.0,0.0,0.0,,,,0.0,0.0,0.0,"Charlottesville, VA",16820,2/10/2025 14:21,22943,Greenwood,Albemarle
8/1/2013,10/31/2013,90,zip code,2,9841,f,Zip Code: 24590,,Virginia,VA,Single Family Residential,6,116000.0,-0.383634431,-0.337142857,164950.0,0.031582239,0.083735751,86.76529388,0.020043751,-0.120778355,114.3253695,0.039939967,0.039963593,17,0.416666667,-0.105263158,16.0,0.333333333,-0.111111111,31.0,-0.03125,0.722222222,73.0,-0.013513514,0.196721311,,,,147.0,7.5,-22.0,0.929043482,-0.00444999,-0.00174802,0.0,0.0,-0.105263158,,,,0.0,0.0,0.0,"Charlottesville, VA",16820,2/10/2025 14:21,24590,Scottsville,Albemarle
